Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,147.6756,-116.84,90,top
C2,10uF,CP_EIA-2012-15_AVX-P,149.4536,-116.6368,90,top
C3,0.1uF,C_0603_1608Metric,147.6756,-120.0404,270,top
C4,10uF,CP_EIA-2012-15_AVX-P,149.4536,-120.2436,270,top
C5,10nF,C_0603_1608Metric,145.288,-117.4496,0,top
C6,10nF,C_0603_1608Metric,142.2908,-117.4496,180,top
C7,0.1uF,CP_EIA-2012-15_AVX-P,150.0632,-107.6452,270,top
C8,0.1uF,CP_EIA-2012-15_AVX-P,138.7856,-102.1588,0,top
C9,0.1uF,C_0603_1608Metric,142.24,-126.3904,0,top
C10,0.1uF,C_0603_1608Metric,140.589,-140.462,180,top
C11,0.1uF,CP_EIA-2012-15_AVX-P,136.1948,-114.808,90,top
C12,0.47uF,C_0603_1608Metric,133.604,-122.428,0,top
C13,0.1uF,C_0603_1608Metric,137.414,-126.619,0,top
R1,10k,R_0603_1608Metric,140.97,-121.6152,270,top
R2,0,R_0603_1608Metric,144.5768,-115.1636,90,top
R3,0,R_0603_1608Metric,143.002,-115.1636,90,top
R4,1k,C_0603_1608Metric,137.2616,-121.3104,0,top
R5,10k,R_0603_1608Metric,138.0236,-115.1128,90,top
R6,10k,R_0603_1608Metric,139.6492,-115.1128,270,top
U1,LTC2433,MSOP-10_3x3mm_P0.5mm,144.4752,-121.5136,270,top
U2,LMP7721,SOIC-8_3.9x4.9mm_P1.27mm,144.9832,-106.1212,0,top
U3,LMP7721,SOIC-8_3.9x4.9mm_P1.27mm,137.2616,-107.1372,90,top
U4,ISO7341C,SOIC-16W_7.5x10.3mm_P1.27mm,145.8976,-133.4008,90,top
U5,LM4040DBZ-4.1,SOT-23,137.1092,-118.5672,270,top
U7,MIC5203-4.5,SOT-23-5,133.985,-125.476,90,top
